"Greater Toronto, ON","Greater Vancouver, BC","Fairfield, CT","New York, NY","Nassau, NY","Queens, NY","Sussex, DE","Fulton, GA","Broward, FL","Miami-Dade, FL","Palm Beach, FL","Hillsborough, FL","Lee, FL","Sarasota, FL","Hennepin, MN","Lake, IL","Cook, IL","St. Louis, MO","Dallas, TX","Tarrant, TX","Harris, TX","Bexar, TX","Maricopa, AZ","Clark, NV","Los Angeles, CA","Orange, CA","Riverside, CA","San Diego, CA","King, WA"
1055198.93268805,1057184.43099725,713858.518496364,3243193.14475354,1146348.83713889,688368.435288249,955838.800087967,1041688.49714378,845919.503611837,1571622.35734874,724055.491344342,502813.877424627,419844.947404795,1065847.39971291,735255.658477415,513652.426414848,490451.573537033,760116.43187721,827865.770878757,213442.740188046,749938.468542305,387168.777796091,520863.668132053,297393.04618454,1410590.69881918,1928467.94039918,675583.417497969,813522.553536267,1090293.23593572
1126220.09095116,1023934.27940461,1623353.43903294,5919963.14477044,643276.233060635,603334.688597239,1174944.31696175,985382.077946036,629107.116073603,1312344.58353337,6396875.81369962,483670.173800762,222629.236735112,512870.802580345,699911.953712541,307826.591302872,660393.627557597,465579.920002669,865326.827163878,565155.851138935,-261256.865140583,1049534.45993264,1087837.45409841,581446.780502312,1718060.30040304,1791881.48512431,539000.528023589,391244.142448833,656034.850291906
815255.103992493,247050.046613507,1301165.31150735,5714963.14477044,1640310.16316746,537316.106590366,316567.965560277,885381.077946036,614028.064194318,402208.067873267,10693427.1506289,562102.795378396,300261.390921965,827188.772473958,687488.698010077,307826.591302872,642049.048728424,338492.475390401,729353.69213113,131863.16439466,868988.193118522,422626.406547022,658543.355713326,511269.846817159,1864449.0586017,1942364.50107457,258994.529019665,1081216.10241021,1086312.70387988
1000415.17321414,2060832.516584,572017.550115255,4794963.14477044,757194.36133762,843817.92838026,270567.965560277,501379.975269976,532599.148983489,1481734.88310261,4980824.11959072,568110.925415883,382560.082269151,830188.772473958,687488.698010077,596317.545151295,408019.734125983,338492.475390401,790206.946460446,482351.795814591,868988.193118522,325558.366188838,996468.217610418,282043.570366176,1841056.03836507,1970048.35108853,851446.05827115,1084827.27703227,1563383.18893087
1038844.78602947,473435.405530053,1503862.27937779,6294963.14477044,937063.366580796,849427.011613752,775875.357826163,595254.046527888,695107.116073603,1484661.97536067,988097.781779349,326107.800048192,382560.082269151,-74572.5057645751,575884.958220344,371986.014364813,467380.536198361,398360.662347148,872222.936459055,444776.228255888,417518.330896208,403118.846067526,1062337.45409841,561447.780502312,2018617.7440693,1383545.64219936,68150.8921277584,-154724.191059567,1205450.7469456
1065885.56039881,2642759.31116674,335509.50515481,5294963.14477044,1273880.66587046,715247.429397679,897631.761421307,422252.470182781,695107.116073603,1474661.97536067,692431.279512446,464571.500473069,309610.996879443,515763.94169902,226446.278335236,371986.014364813,467380.536198361,614383.579658315,1064113.19136367,448226.261813872,552938.426044328,230335.52610988,1087837.45409841,485592.248929173,1188932.95998863,1905490.25025826,558365.652374189,786061.75504184,1866215.39945456
928884.716807824,1061019.95161464,1551940.0162524,6169963.14477044,679910.551690695,699118.876972032,210179.407814459,446916.108664698,880082.886960635,372339.686591355,90568.5479058817,664961.288278105,290386.937399536,504346.637000259,707343.30926117,650168.284436141,730761.513051944,614383.579658315,701851.105187276,444077.800146798,1180913.50365692,363016.856302699,556013.515920019,376992.268572114,1320993.22447769,1866283.75114438,278994.529019665,815551.080568496,-166198.985908395
1074515.17321414,579641.732048931,1092635.4945741,5469963.14477044,818355.663889472,873470.630342831,552054.223356876,295594.752510059,1590822.02928222,1329333.43336508,1424867.84298294,468482.703697061,136372.32310295,479346.637000259,707343.30926117,473271.165383606,730761.513051944,681244.12334826,557723.36939084,177905.874562281,808477.960273306,227302.438066166,448296.59080012,415884.669415605,1396778.54090159,1738444.75646114,706315.611737212,781980.683412357,551020.879407933
1306380.16017281,4055115.39802458,2100949.4134447,1089653.14471973,856636.890616694,729218.632791294,588054.223356876,139900.852095687,341893.480096062,1814899.50933891,1155187.70508416,391788.230307494,308569.524822907,511439.622924575,667217.192773979,527729.798057374,620936.284955156,681244.12334826,382913.001037341,368135.130357466,808477.960273306,215779.788729329,469378.932336606,17497.807959597,1858721.84140234,1829695.86363391,558947.21751569,998376.560501914,897527.556508313
665255.103992493,997614.963916992,-212661.169160095,4843193.14475354,1261806.25936944,645927.246832647,148379.059218559,455306.898398225,1006755.18151392,1906378.87242062,1175187.70508416,600312.334694236,-151520.176410735,580252.060729113,781223.367382102,419554.24748985,620936.284955156,437289.455328476,376545.576190602,439855.261813872,488119.89116902,311243.73011056,416456.070638721,595288.581980612,236317.175473706,1932979.96091969,396793.915766415,918535.842024489,1066631.97989697
